,"time, s","x_all, m^2","y_all, m^2","z_all, m^2","r_all, m^2","x_2, m^2","y_2, m^2","z_2, m^2","r_2, m^2","x_5, m^2","y_5, m^2","z_5, m^2","r_5, m^2"
232,1.74e-08,4.993673893817271e-20,4.3648281691449054e-20,4.7107214260943085e-20,1.4069223489056486e-19,6.607637144724319e-20,5.763606065841917e-20,6.17253685317328e-20,1.8543780063739518e-19,1.7688996639776012e-20,1.5700043638303687e-20,1.7899456801923785e-20,5.128849708000348e-20
233,1.7475e-08,4.9954482492525576e-20,4.409864227018658e-20,4.7604324397479205e-20,1.4165744916019135e-19,6.630583106317939e-20,5.820678746526762e-20,6.249421822275337e-20,1.8700683675120036e-19,1.7283721578895037e-20,1.590990685110863e-20,1.785361857080836e-20,5.1047247000812027e-20
234,1.7549999999999998e-08,4.9884622485856916e-20,4.347066177881295e-20,4.7541887422457245e-20,1.408971716871271e-19,6.590698860818596e-20,5.765733432689118e-20,6.239609307568634e-20,1.8596041601076348e-19,1.787118392503152e-20,1.5125025027476927e-20,1.7862488236415533e-20,5.0858697188923976e-20
235,1.7625e-08,5.011058314145545e-20,4.4160253549149955e-20,4.807478483089104e-20,1.4234562152149644e-19,6.63990703102225e-20,5.808010126252468e-20,6.315526657270575e-20,1.8763443814545294e-19,1.7565422255422883e-20,1.6347745324965684e-20,1.794327541316361e-20,5.185644299355218e-20
236,1.77e-08,4.9955324047337243e-20,4.401808599421956e-20,4.820393349978695e-20,1.4217734354134375e-19,6.601136052244919e-20,5.785847263375667e-20,6.331877820538249e-20,1.8718861136158836e-19,1.7874610543353814e-20,1.636434472030066e-20,1.8003765269661495e-20,5.224272053331596e-20
237,1.7775e-08,5.063012652428366e-20,4.442726488046389e-20,4.7615659070789445e-20,1.42673050475537e-19,6.686402941536246e-20,5.861585542853679e-20,6.252514568761086e-20,1.8800503053151012e-19,1.819402758371019e-20,1.607779587523231e-20,1.782580592819512e-20,5.2097629387137625e-20
238,1.785e-08,5.0289850433571684e-20,4.4466713858337606e-20,4.7783341769376183e-20,1.4253990606128547e-19,6.650141113253825e-20,5.861972397892603e-20,6.262959438537095e-20,1.8775072949683523e-19,1.7898392240128707e-20,1.6188336215052547e-20,1.8119833124527272e-20,5.2206561579708523e-20
239,1.7925e-08,5.0240452685335216e-20,4.4602772576420604e-20,4.806274807599676e-20,1.4290597333775257e-19,6.653461466159206e-20,5.85455419518643e-20,6.302601040933177e-20,1.8810616702278815e-19,1.7683953267931433e-20,1.674446579696959e-20,1.8165448531071538e-20,5.2593867595972556e-20
240,1.8e-08,5.0949005374668863e-20,4.4951024714146364e-20,4.826981765183211e-20,1.4416984774064734e-19,6.748667080123299e-20,5.930137002071955e-20,6.346484435747035e-20,1.9025288517942287e-19,1.7905974649326898e-20,1.62783621191769e-20,1.790944202709007e-20,5.209377879559387e-20
241,1.8075e-08,5.0715269604711234e-20,4.528199790867924e-20,4.852213647318418e-20,1.4451940398657466e-19,6.691695193878613e-20,5.952923460279216e-20,6.35144223389441e-20,1.8996060888052237e-19,1.8343548847370183e-20,1.681535115462159e-20,1.856684654999588e-20,5.372574655198765e-20
242,1.815e-08,5.079235505824279e-20,4.568873037934929e-20,4.921170622227426e-20,1.4569279165986631e-19,6.688086011878976e-20,6.00344148820185e-20,6.476175713619163e-20,1.916770321369999e-19,1.8646767798595247e-20,1.7025380289055168e-20,1.8141975587630797e-20,5.381412367528121e-20
243,1.8225e-08,5.10129783874951e-20,4.601056472507824e-20,4.938056996356214e-20,1.4640411307613547e-19,6.729379651886704e-20,6.044613845605002e-20,6.523701900892548e-20,1.9297695398384252e-19,1.8483140597664064e-20,1.716761174307797e-20,1.7698641499877182e-20,5.334939384061921e-20
244,1.83e-08,5.092744112466808e-20,4.6002947226933496e-20,5.004969598025633e-20,1.469800843318579e-19,6.706567026267251e-20,6.054874746406667e-20,6.609167826138254e-20,1.9370609598812173e-19,1.8682502827444367e-20,1.6939756518755307e-20,1.7997063414646728e-20,5.36193227608464e-20
245,1.8375e-08,5.130648883465184e-20,4.63137601974518e-20,5.017787853143609e-20,1.4779812756353972e-19,6.767935599779556e-20,6.095998177955014e-20,6.608319777919608e-20,1.9472253555654177e-19,1.859273276454242e-20,1.7049922934782616e-20,1.8398305112571893e-20,5.404096081189693e-20
