,"time, s","msd_all, m^2","msd_x_all, m^2","msd_y_all, m^2","msd_z_all, m^2","msd_Cr, m^2","msd_x_Cr, m^2","msd_y_Cr, m^2","msd_z_Cr, m^2","msd_Ta, m^2","msd_x_Ta, m^2","msd_y_Ta, m^2","msd_z_Ta, m^2"
380,2.85e-08,2.328679470458265e-19,8.140861759091492e-20,7.13429541405817e-20,8.01163753143298e-20,3.012309288094846e-19,1.053144384359136e-19,9.247367764945862e-20,1.0344281272411247e-19,9.62755049672671e-20,3.364366695725554e-20,2.9122778067181136e-20,3.350905994283039e-20
381,2.8575e-08,2.334591947156935e-19,8.16410149396199e-20,7.151387270474081e-20,8.030430707133282e-20,3.020111166111192e-19,1.0559936535674058e-19,9.269706388390574e-20,1.0371468737047283e-19,9.648924139729424e-20,3.3771107758536904e-20,2.918886376668278e-20,3.352926987207456e-20
382,2.865e-08,2.3404644319261893e-19,8.186784440202237e-20,7.168723676286992e-20,8.049136202772669e-20,3.0277468276629716e-19,1.0587564240653272e-19,9.292123467024234e-20,1.0397780568952216e-19,9.672419888817982e-20,3.389913862347926e-20,2.92607136002879e-20,3.3564346664412643e-20
383,2.8725e-08,2.3463065189216417e-19,8.208682999707706e-20,7.186025039457057e-20,8.06835715005165e-20,3.035375228431929e-19,1.0614747544077974e-19,9.314602257582477e-20,1.0424402482658843e-19,9.69514937224329e-20,3.401253255780405e-20,2.9330279805853645e-20,3.360868135877524e-20
384,2.88e-08,2.351555931421507e-19,8.229243458421883e-20,7.200015801957269e-20,8.086300053835921e-20,3.0421602089523434e-19,1.063947488708745e-19,9.333048972192211e-20,1.0449078230243776e-19,9.716962128393891e-20,3.413488084349865e-20,2.93811554189801e-20,3.365358502146018e-20
385,2.8875e-08,2.3568253288345325e-19,8.248522682301257e-20,7.214474741341698e-20,8.10525586470236e-20,3.049162960203695e-19,1.0663695979102318e-19,9.352249196914219e-20,1.0475684426020406e-19,9.735022880324755e-20,3.422893224044454e-20,2.943101170930198e-20,3.3690284853501016e-20
386,2.895e-08,2.36230689360704e-19,8.268706318635033e-20,7.230422956595336e-20,8.123939660840028e-20,3.056362370398746e-19,1.0689260414333331e-19,9.372792503553312e-20,1.050157078610082e-19,9.755515171267362e-20,3.432325771956596e-20,2.9498681782007915e-20,3.3733212211099754e-20
387,2.9025e-08,2.3679083849320634e-19,8.289534022116894e-20,7.246281608984349e-20,8.143268218219388e-20,3.063698864329383e-19,1.0715513523016414e-19,9.393731115240462e-20,1.0527744005036959e-19,9.776863919174946e-20,3.442313261530554e-20,2.955576833789032e-20,3.3789738238553607e-20
388,2.91e-08,2.3732339450151786e-19,8.308397199397051e-20,7.262444151491878e-20,8.161498099262849e-20,3.070886930631951e-19,1.074075980776205e-19,9.415275756301489e-20,1.0552833742255972e-19,9.79290577269166e-20,3.448422690886534e-20,2.960985691100808e-20,3.3834973907043214e-20
389,2.9174999999999998e-08,2.3786596936626865e-19,8.328435975604595e-20,7.278974552274402e-20,8.179186408747865e-20,3.078308495693453e-19,1.0767366816016925e-19,9.437345803437973e-20,1.0578372337479644e-19,9.807285911676157e-20,3.4553378315776096e-20,2.966447618797186e-20,3.385500461301364e-20
390,2.925e-08,2.3843431076945817e-19,8.347771983820195e-20,7.295873988224916e-20,8.199785104900702e-20,3.0860037798090766e-19,1.0793785222197366e-19,9.459346967047401e-20,1.0606905608846006e-19,9.823921944658123e-20,3.460522876672056e-20,2.9731535637417024e-20,3.3902455042443653e-20
391,2.9325e-08,2.389906539109989e-19,8.366256217847928e-20,7.314731482451337e-20,8.218077690800618e-20,3.093505610020268e-19,1.0818526129249875e-19,9.484104636646609e-20,1.0632425334306187e-19,9.840826142248028e-20,3.4665059847147415e-20,2.980222231002587e-20,3.394097926530693e-20
392,2.94e-08,2.3955329691015353e-19,8.385522288474116e-20,7.331418679312979e-20,8.238388723228261e-20,3.1010479051185624e-19,1.0842911622501325e-19,9.507204507381811e-20,1.0660362921302491e-19,9.858810559268887e-20,3.475543208962715e-20,2.9840966048707676e-20,3.3991707454354066e-20
393,2.9475e-08,2.401035557361352e-19,8.404477625080778e-20,7.3481805741333e-20,8.257697374399452e-20,3.108359336263002e-19,1.0866419324923268e-19,9.529536755098275e-20,1.0687637282608482e-19,9.87769491313721e-20,3.485402705278304e-20,2.989728673494304e-20,3.4025635343646005e-20
394,2.955e-08,2.4068086396682045e-19,8.42425260794336e-20,7.365793997245183e-20,8.278039791493504e-20,3.1159438648698415e-19,1.0891148988571906e-19,9.55296960176149e-20,1.071532005836501e-19,9.899232190016532e-20,3.495278003679681e-20,2.9957146155651325e-20,3.4082395707717175e-20
395,2.9625e-08,2.4124509930196704e-19,8.445801392614511e-20,7.382497394489014e-20,8.296211143093173e-20,3.1233031238664804e-19,1.0917340040807665e-19,9.575335648904311e-20,1.074035554895283e-19,9.921351143941088e-20,3.507551320150462e-20,3.0011037728740713e-20,3.412696050916557e-20
396,2.97e-08,2.4184082485233857e-19,8.467839663709733e-20,7.400406075242311e-20,8.315836746281798e-20,3.130956701584803e-19,1.0944860045403691e-19,9.598696145620126e-20,1.076601082482421e-19,9.947030385979322e-20,3.518636830754804e-20,3.0081194697803855e-20,3.420274085444133e-20
397,2.9775e-08,2.423980234737986e-19,8.48847493019336e-20,7.417569696597565e-20,8.33375772058894e-20,3.138276371859986e-19,1.097113915187997e-19,9.6218141031536e-20,1.0789810463566283e-19,9.967830701368053e-20,3.5279954403781286e-20,3.0133860483420564e-20,3.426449212647866e-20
398,2.985e-08,2.4293974061210665e-19,8.507848252751575e-20,7.434327034194849e-20,8.351798774264242e-20,3.1454815577155786e-19,1.0995715223849004e-19,9.644566798947193e-20,1.0814533554359592e-19,9.986277047906251e-20,3.536973425734642e-20,3.0181643792306987e-20,3.431139242940911e-20
399,2.9925e-08,2.4353139947948955e-19,8.530080461739911e-20,7.452093605132979e-20,8.370965881076056e-20,3.153307026166449e-19,1.1024249060006683e-19,9.66859227802881e-20,1.084022892362899e-19,1.0007302621911867e-19,3.54661468824986e-20,3.0234253583118257e-20,3.4372625753501784e-20
400,3e-08,2.4410018103479326e-19,8.552416109554361e-20,7.468929756671903e-20,8.388672237253064e-20,3.1608521179644196e-19,1.1051688203305743e-19,9.692337283301866e-20,1.0864495693036583e-19,1.0027071527470216e-19,3.5587533128597085e-20,3.026457296237412e-20,3.441860918373095e-20
401,3.0075e-08,2.447045724052305e-19,8.577213900447827e-20,7.48809866850694e-20,8.40514467156828e-20,3.1687369183070805e-19,1.1082046093177212e-19,9.718718973759253e-20,1.0886604116134346e-19,1.0050728886565305e-19,3.572441765365476e-20,3.031214738286011e-20,3.447072382913819e-20
402,3.015e-08,2.452821948938236e-19,8.599947311780666e-20,7.508285331241483e-20,8.419986846360212e-20,3.1764512172020074e-19,1.1112200267862427e-19,9.744795399121731e-20,1.0907516505035903e-19,1.0069767508252744e-19,3.580348143671998e-20,3.0396333792073125e-20,3.449785985373434e-20
403,3.0225e-08,2.458672711805037e-19,8.621167903029777e-20,7.527442965621204e-20,8.438116249399386e-20,3.184289658739819e-19,1.1139466434027602e-19,9.770602334737421e-20,1.093282781863317e-19,1.0088560385349528e-19,3.5894893928524844e-20,3.0455053980315785e-20,3.453565594465467e-20
404,3.03e-08,2.4645377993519173e-19,8.64561292710945e-20,7.54591342594692e-20,8.453851640462807e-20,3.1919171036210844e-19,1.117049978014645e-19,9.794504831134205e-20,1.0954166424930193e-19,1.0111998535172342e-19,3.600770640670291e-20,3.0531223956606106e-20,3.4581054988414394e-20
